cases,deaths,name,ratio
50.0,0.0,Sierra_Leone,0.0
9125.0,11.0,Singapore,829.55
68.0,10.0,Sint_Maarten,6.8
1199.0,14.0,Slovakia,85.64
1340.0,77.0,Slovenia,17.4
286.0,8.0,Somalia,35.75
3465.0,58.0,South_Africa,59.74
10694.0,238.0,South_Korea,44.93
4.0,0.0,South_Sudan,0.0
204178.0,21282.0,Spain,9.59
310.0,7.0,Sri_Lanka,44.29
107.0,12.0,Sudan,8.92
10.0,1.0,Suriname,10.0
15322.0,1765.0,Sweden,8.68
27981.0,1186.0,Switzerland,23.59
42.0,3.0,Syria,14.0
425.0,6.0,Taiwan,70.83
2811.0,48.0,Thailand,58.56
23.0,0.0,Timor_Leste,0.0
86.0,6.0,Togo,14.33
115.0,8.0,Trinidad_and_Tobago,14.38
901.0,38.0,Tunisia,23.71
95591.0,2259.0,Turkey,42.32
11.0,1.0,Turks_and_Caicos_islands,11.0
58.0,0.0,Uganda,0.0
6592.0,174.0,Ukraine,37.89
7755.0,46.0,United_Arab_Emirates,168.59
129044.0,17337.0,United_Kingdom,7.44
254.0,8.0,United_Republic_of_Tanzania,31.75
825041.0,45063.0,United_States_of_America,18.31
54.0,3.0,United_States_Virgin_Islands,18.0
613.0,12.0,Uruguay,51.08
1692.0,6.0,Uzbekistan,282.0
285.0,10.0,Venezuela,28.5
276.0,0.0,Vietnam,0.0
1.0,0.0,Yemen,0.0
65.0,3.0,Zambia,21.67
28.0,3.0,Zimbabwe,9.33
